EntityID,EntityName,EntityType,RegistrationNumber,IncorporationDate,Country,CountryCode,State,StateCode,Status,Industry,ContactEmail,LastUpdate
1061,RedSun Innovations,Company,REG80123,10/21/15,Germany,DE,Bavaria,BY,Active,Technology,info@redsun.de,5/11/22
1062,Teal Trust,Trust,,12/27/12,Canada,CA,Alberta,AB,Inactive,Trust,trust@tealtrust.ca,11/30/21
1063,Happy Homes,Company,REG98432,,India,IN,,,Pending,Real Estate,support@happyhomes.in,2/9/22
1064,BlueLight Media,Company,REG72234,4/9/18,United States,US,,,Active,Technology,info@bluelightmedia.com,5/29/22
1065,Growth Ventures,Partnership,REG83211,2/25/14,UK,GB,,,Active,Finance,contact@growthventures.uk,3/19/22
1066,Sunflower Trading,Company,REG75219,7/14/12,India,IN,Mumbai,MUM,Active,Trading,info@sunflowertrading.in,1/17/22
1067,NorthAngle Nonprofit,Nonprofit,,9/11/13,US,US,,,Active,Charity,info@northangle.org,5/1/22
1068,Oasis Holdings,Company,REG43289,12-21-15,Australia,AU,,,N,Holding,contact@oasisholdings.au,12/23/21
1069,NextGen Technologies,Company,REG65443,5/27/17,Singapore,SG,,,Active,Technology,info@nextgentech.sg,6/29/22
1070,Coral Farms,Company,REG89809,11/3/14,India,IN,Karnataka,KARN,Pending,Agriculture,support@coralfarms.in,4/16/22
1071,StarLogistics,Company,REG33332,3/19/11,United States,US,New Jersey,NJ,Active,Logistics,contact@starlogistics.com,2/20/22
1072,Sunhill Trust,Trust,,10/2/10,Canada,CA,, ,Active,Trust,info@sunhilltrust.ca,5/21/22
1073,Urban Foods,Company,REG88442,3/14/16,Australia,AU,,,Active,Manufacturing,info@urbanfoods.au,2/3/22
1074,Future Vision Corp,Company,REG73284,6/21/19,United Kingdom,GB,,GB,Actived,Technology,contact@futurevision.co.uk,4/28/22
1075,LoneStar Partners,Partnership,REG22122,8/10/12,United States,US,Texas,TX,Active,NULL,lone@starpartners.com,1/15/22
1076,Maple Trust,Trust,,12/1/14,Canada,CA,Ontario,ON,Active,Real Estate,trust@mapletrust.ca,3/24/22
1077,Radiant Retail,Company,REG87007,2-Nov-20,India,IN,,MH,Active,Retail,contact@radiantretail.in,6/16/22
1078,Metropolis Holdings,Company,REG43105,9/22/17,Australia,AU,,,Inactive,Holding,support@metropolis.com.au,12/11/21
1079,StarBright Innovations,Company,REG98101,11/15/13,Germany,DE,Hamburg,HH,Active,Technology,info@starbright.de,5/17/22
1080,Cosmos Nonprofit,Nonprofit,,12/18/17,UK,GB,,ENG,Pending,Charity,info@cosmosnp.org,2/11/22
1081,Elevate Construction,Company,REG88234,7/7/11,Singapore,SG,,,Active,Construction,contact@elevateconst.sg,4/30/22
1082,Prime Traders,Company,REG73219,3/19/14,India,IN,Tamil Nadu,TN,Active,Trading,info@primetraders.in,5/9/22
1083,Crystal Ventures,Partnership,,1/24/16,Canada,CA,,,Inactive,Finance,contact@crystalventures.ca,12/18/21
1084,Opal Trust,Trust,,10/11/12,Australia,AU,,,Y,Trust,info@opaltrust.au,1/21/22
1085,Horizon Retailers,Company,REG22994,6/28/15,India,IN,W.Bengal,WB,Active,Retail,contact@horizonretail.in,2/17/22
1086,NewWave Shipping,Company,REG33742,4/11/19,United States,US,Florida,,Active,Logistics,info@newwaveship.com,5/25/22
1087,FutureTech Ltd,Company,REG44321,,Singapore,SG,,,Pending,Technology,support@futuretech.sg,6/8/22
1088,SilverStar Partners,Partnership,REG21119,6/25/12,United Kingdom,GB,,ENG,Active,Finance,contact@silverstar.co.uk,3/29/22
1089,Redgate Holdings,Company,REG32145,9/14/14,Australia,AU,,,Inactive,Holding,info@redgate.com.au,11/24/21
1090,GoldenNonprofit,Nonprofit,,7/2/11,United States,US,,,Active,Charity,info@goldennonprofit.org,1/12/22
1091,Blue Sky Consulting,Company,REG99877,8/18/15,Canada,CA,British Columbia,,Pending,Consulting,contact@bluesky.ca,3/5/22
1092,Tiger Innovations,Company,REG55591,2/2/18,Germany,DE,Berlin,,Active,Technology,info@tigerinnov.com,6/21/22
1093,PeachFarm Holdings,Company,REG44119,5/13/13,India,IN,Tamil Nadu,,Active,Agriculture,peach@farmhold.in,1/9/22
1094,StarTech Ventures,Company,REG77741,4/20/16,Singapore,SG,,SG,Active,Technology,support@startech.sg,6/27/22
1095,Emerald Partners,Partnership,,9/15/12,United Kingdom,GB,,ENG,N,Finance,contact@emeraldpartners.co.uk,12/21/21
1096,Bluebell Trust,Trust,REG33817,10/8/10,Australia,AU,,SYD,Active,Trust,info@bluebelltrust.au,5/30/22
1097,Zen Construction,Company,REG99098,4/18/16,United States,US,Arizona,AZ,Pending,Construction,zen@construction.com,3/12/22
1098,Palm Nonprofit,Nonprofit,,1/19/19,India,IN,,,Active,Charity,info@palmnp.org,4/9/22
1099,Lime Retail,Company,REG21767,7/31/14,Australia,AU,,,Y,Retail,lime@retail.com.au,2/21/22
1100,Golden Group,Company,REG82344,12/6/16,Canada,CA,,,Inactive,Holding,info@goldengroup.ca,11/6/21
